"Abundance: F1: Sample, NCL_VEH","Abundance: F2: Sample, NCL_LNA","Abundance: F3: Sample, NCL_ION","Abundance: F4: Sample, CL_VEH","Abundance: F5: Sample, CL_LNA","Abundance: F6: Sample, CL_ION","Abundance: F7: Sample, NCL_VEH","Abundance: F8: Sample, NCL_LNA","Abundance: F9: Sample, NCL_ION","Abundance: F10: Sample, CL_VEH","Abundance: F11: Sample, CL_LNA","Abundance: F12: Sample, CL_ION","Abundance: F13: Sample, NCL_VEH","Abundance: F14: Sample, NCL_LNA","Abundance: F15: Sample, NCL_ION","Abundance: F16: Sample, CL_VEH","Abundance: F17: Sample, CL_LNA","Abundance: F18: Sample, CL_ION"
1750596.625,,,1862959.625,540373.625,494715.4063,854960.25,790871.5625,,561835.125,1854142.375,261262.7813,642086,673577.125,,1830791.25,194252.2813,
223153.6719,,,1026617.078,145477.6406,110370.6953,918044.3594,1006027.34,586307.3125,444742.9375,738815.0625,77343.65625,,,,,56625.85547,95433.42969
734174.875,2263318.094,2098936.125,7148235.156,648848.125,202946.0898,4248918.357,3144279.141,1942620.625,2224713.844,15852339.44,4470638.031,1615294.219,3405534.656,1706344.563,6894633.734,2077993.875,1261492.219
,,,479554.25,,,825016.5,147217.5,26365.52539,203619.75,825467.9375,938630.5,,,53441.87891,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,153079.8438,24302.16992,,168527.5156,220377.8281,,116906.5625,247105.6406,246454.2813,,310264.4063,,155580.6563,,32915.84766
,,229420.2188,347555.25,,,953351.1875,101972.2734,1161072.75,39478.65234,191473.6094,,293348.8438,,113281.1094,,,82501.89063
,,,53363.22266,,,216951.4063,59773.875,,16387.69727,,,,,9014.198242,,,
,,,1383835.5,213283.0781,171853.5156,1089484.25,807042.0625,,645355.3125,5981983,1330001.5,,1856631.75,,4551932,280751.9688,519756.625
8403.359375,,8384.633789,2136615.074,227944.6445,40808.5957,2494033,1346780.5,13993.93066,541838.75,1057150.375,1014632.813,,511398.5938,,553265.3125,16432.98242,156809.2773
69492.26563,1709481.125,1000129.188,1240669.375,,,2981589.438,330947.7588,3090660.25,,171730.8906,685879.3125,887431.75,,890724.875,127922.2891,296032.75,
6463829.231,3623113.686,11943125.64,12205433.98,815152.7461,250887.3315,43721915.02,21984105.08,43667857.68,11008706.51,62008667.76,25052935.45,1350459.624,28741473.91,3124275.988,15976273.82,2490425.294,532583.0469
,,,272235.0313,,16495.0293,577663.375,349282.0625,,108775.4844,1094554.25,329750.1563,,697116.6875,,1062226,,121401.9141
1358952.199,3346514.903,1525312.718,,642287.625,383044.4961,3130510.891,2121849.553,1453449,2966656.632,6654636.227,3921219,1541359.356,2992506.553,1664380.25,4552785.594,1159710.125,445469.7666
,,,394892.3125,,,423997.6875,417303.9063,,372359.375,525219.2344,1183658.375,,588525.75,,443859.8125,,
,,,,,,,,,,,,,,,,,
562797,643312.6875,185654.4688,,,,,,,,,529809.6875,,,,,,
,,310367.8125,931414.8125,546789,408170.9688,709100.25,240433.4375,199879.2656,667739.875,648745.5625,1401278.125,138229.0938,577287.375,193482.3906,,85202.61719,352830.3125
,479879.5313,,697271.3984,109128.7969,104076.4219,1864969.875,797749.5469,341405.875,434270.8906,1602132,4882343,,1097972.125,,180019.1563,79693.67188,165884.0156
,,,,,,,321164.7813,,,3174227.75,47341.01172,,4515946.5,,,169741.5625,
,,,,,76449.11719,,70556.52344,,,,690852.625,319244.9375,,,,,392984.375
611320.375,,,,,,,,,,,,,,,,,
,,,,,,,,,,,979662.5625,,,,,,
,,,852907.0625,34891.42188,4967.981934,1949014.898,990419.75,,1359356.375,1487294.875,8774664.113,,2543225.605,,3100457.5,,314513.6563
,,,,,,29648.24023,,,,,214784.7813,,,,,,
,,,,,,,,,,,206899.9219,,,,,,
,,,,,,,,,,,336968.1563,,,,,,
,,,1241301.164,313509.2461,113238.6641,1155535.547,451527.5664,,763660.9844,2146470.031,4050273.977,,293226.6563,,269849.4883,,383952.7109
,,,32432.03125,,,83931.67969,72561.02344,,,,372249,,,,,,
,3412578.75,,4524861.875,2579561.938,406800.2031,4406315.875,2006610.563,,3866735.25,11775958.75,4026660.25,,11453365,,26190063,1109858.656,2270362.063
,,,,,,,,,,,1644613.375,,,,,,
,,,,,,,,,,,,,,,,,
4529.427734,6156.765137,,114785.9844,12466.79102,,147104.1094,64837.05859,,110253.9531,121225.5,942753.1875,,55476.91406,45290.82031,113079.0156,,
,,,79663.77344,,,236873.0469,71311.42188,,101649.6016,658701.75,1327069,,131818.7188,,128555.6953,,
,63817.75391,,,13130.04004,6650.353027,36365.31641,,,,260527.2578,6611162.5,,398514.9063,,123171.2266,,
,,,33445.10156,,,60869.78516,,,49334.00781,200841.7344,3352646.5,,32712.91992,,,,
4646070.5,,1614832.356,4272708.5,310143.832,108494.0879,5795561.5,2940855,5244899.68,1259547.625,4013479.5,2121159.922,,1432559,,348016.6563,,393750.8281
,,,,,,,,,,,121725.3672,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,328760.6563,,,,,601074,,
,,,76456.67188,,,,,,,76469.66406,87220.0625,,,,180674.5469,,
,,,1096685,260836.5156,351036.8438,863914.875,507013,,609773.25,422140.1563,402343.0625,,313923.0938,,,117144.2578,162913.3906
,22889.90039,,,,,,,,,,209179.7188,,,,,,
,,151176.5313,,74940.61719,39491.32031,,17172.33398,,170761.0469,3466868.75,320861.4375,,1479686.875,,747918.3125,,246371.3438
,1216634,,3019793.25,269138.2969,73099.07324,1224097.5,1340089.313,,744904.375,5885571,1074463.125,,1183638,,6643081.938,309633.5625,184008.8281
19535466,17216953.89,5162857.5,74671026.37,1158910.656,673171.9014,61987358.51,50896564.52,83675984,4544708,28501729.89,21499942.58,28424486,12571189.04,2446827.75,963719.375,756268.2188,8353056.25
,1621640.125,,2844514.25,515169.9063,205667.1797,6221072.234,1994148.25,4522201,683877.3418,3875920,908785.125,,5038381.5,,1076775.195,93678.73438,390361.9375
4203995.094,4509067.5,1032483.625,11197455,569834.6104,324696.9248,10265710.26,22709684.08,11775790.98,3245971.721,6159447.5,1425189.922,5277112.813,4659041.52,2585055.297,320336.4844,239144.3086,1318980.121
,,,285978.2813,63587.80469,,315738.875,347251.25,,114753.2891,402933,,,283657.4375,,,,82220.70313
2337901.75,706298.75,,3478753.25,164069.4063,,4823954,1939551.875,6638328.5,1296236.25,2494789.5,1975454.25,1443648.125,994211,,529807.3125,,250165.5156
,,,515841.375,37776.36328,,534745.5,484528.2188,,70186.38281,32623.32422,369935.2813,,639389.125,,624705.75,,
,,,437768.4219,184686.1133,50314.52734,,,,671027.9063,1215296.656,3108842.699,,2875154.258,,3328704.75,,112436.8281
863630.5625,1214020.25,1205915.75,5251322.734,310529.1152,248393.9951,3630484.438,1687842.77,3102447.25,2116775.766,2814936.188,3254111.465,810839.0625,3201347.125,1319411.625,3349267.768,1238462.234,1189393.578
,,,,,,,,,,,,,,,,,
,,,834082,41296.54297,,511547.875,581578,,199759.5313,331406.4375,,,215875.8438,,116748.2188,,41974.69531
,,,299735.1875,,,,,,,200110.6875,,,,,,,
,,,264512.8125,,,497324.4688,183906.9531,,256638.625,314444.75,3198908.75,,184644.7188,,354506.5,,145631.4063
